Note Name,MIDI Note,Velocity
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A6,93,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
A#6,94,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
B6,95,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C7,96,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
C#7,97,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D7,98,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
D#7,99,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
E7,100,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
F7,101,127
